"Group.1","x","Freq.x","x.x.0%","x.x.10%","x.x.20%","x.x.30%","x.x.40%","x.x.50%","x.x.60%","x.x.70%","x.x.80%","x.x.90%","x.x.100%","x.y","Freq.y"
"208", 944.2597, 1, 776.48115, 877.50088, 906.07211, 925.29349, 944.25971,1015.99185,1059.73578,1107.17377,1171.35550,1197.48393,1731.92771,1015.9918, 26
"209",1170.1877, 5, 816.19327,1018.80570,1123.35859,1181.02052,1227.34287,1257.48503,1294.63885,1349.31662,1448.00533,1548.21757,1673.22835,1257.4850, 53
"21,186",NA,NA, 388.09388, 388.09388, 388.09388, 388.09388, 388.09388, 388.09388, 388.09388, 388.09388, 388.09388, 388.09388, 388.09388, 388.0939,  1
"211",1185.3216, 8, 854.98191,1034.80715,1125.87180,1180.55556,1256.16869,1294.78193,1344.45990,1419.75309,1490.49430,1649.41785,2964.71418,1294.7819, 81
"212",1246.9373, 3, 655.73770, 888.37389, 907.29783, 939.72232, 965.70753,1027.99228,1060.46931,1200.00000,1225.67602,1279.03942,1949.06445,1027.9923, 31
"213", 952.2777, 1, 606.01164, 813.61142, 892.45936, 933.56911, 957.60276, 975.58869,1001.61464,1039.51460,1083.76852,1190.14943,1283.65686, 975.5887, 18
"214",1150.0000,13, 728.90384, 935.89976,1027.75620,1078.97988,1118.64269,1152.19930,1237.38553,1314.59154,1406.47162,1570.36660,2561.61972,1152.1993,119
"221",1307.3730, 6, 426.77725, 836.69376, 909.22040, 973.59915,1015.68111,1092.27396,1142.87699,1251.38725,1312.55793,1511.03766,6833.33333,1092.2740, 90
"23",NA,NA, 226.68913, 368.53204, 428.38026, 460.58232, 480.77108, 504.24128, 538.82170, 566.02247, 593.27459, 663.45973, 862.06897, 504.2413, 47
"230",1404.8991, 1, 559.10543, 670.40066, 781.69588, 892.99111,1004.28634,1115.58157,1173.44508,1231.30859,1289.17211,1347.03562,1404.89914,1115.5816,  3
"231",1231.0241, 1,1142.39086,1195.57078,1238.65753,1261.55793,1284.99769,1308.70712,1340.66462,1371.28048,1399.21305,1416.19575,1427.70352,1308.7071,  7
"232",1198.5655, 3,1001.66945,1063.77537,1152.07194,1250.18251,1308.82149,1392.85714,1446.51073,1471.68255,1657.90814,1836.47297,2104.76190,1392.8571, 23
"233",1092.9648, 5, 915.05868,1075.03080,1236.37266,1286.53618,1326.70819,1379.77506,1445.60260,1528.09673,1573.63858,1687.71562,2108.43373,1379.7751, 84
"234",1273.2278,11, 950.73892,1144.90708,1226.29151,1278.79814,1312.40139,1408.23743,1453.39746,1513.92136,1598.46807,1732.15691,2297.29730,1408.2374, 49
